"Reference","Qty","Value","DNP","Datasheet","Manufacturer_Name","Manufacturer_Part_Number","Supplier1_Name","Supplier1_Part_Number","Voltage","Description"
"C1","1","2,2u","","~","Samsung Electro-Mechanics","CL21B225KOFNNNF","Mouser","187-CL21B225KOFNNNF ","16V","Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2uF+/-10% 16V X7R 0805"
"C2","1","1F","","https://datasheets.kyocera-avx.com/AVX-SCC-3.0V.pdf","KYOCERA AVX","SCCR12E105SRB","Mouser","581-SCCR12E105SRB ","3V","Supercapacitors / Ultracapacitors 3V 1F 8X12mm Radial Low ESR"
"C3,C6,C7","3","22u","","~","Samsung Electro-Mechanics","CL31B226KPHNNNE","Mouser","187-CL31B226KPHNNNE ","10V","Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF+/-10% 10V X7R 3 1206"
"C4,C8","2","100n","","~","YAGEO","CC0603JRX7R9BB104","Mouser","603-CC603JRX7R9BB104","50V","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0603 5%"
"C5","1","175p","","~","YAGEO","CC603KRX7R9BB181 ","Mouser","603-CC603KRX7R9BB181 ","50V","Condensateurs céramique multicouches MLCC - CMS 50 V 180pF X7R 0603 10%"
"D1","1","BAS_4002A_RPP_E6327","","https://www.infineon.com/dgdl/Infineon-BAS4002ASERIES-DS-v01_01-en.pdf?fileId=db3a304329a0f6ee0129a6dc9f802b68","Infineon","BAS 4002A RPP E6327","Mouser","726-BAS4002ARPPE6327","","Schottky Diodes & Rectifiers Low VF Schottky Diode Array 40V .2A"
"D8","1","LED_RGB","","https://www.mouser.fr/datasheet/2/776/BL_HBXJXGX32L-3074637.pdf","American Bright LED","BL-HBXJXGX32L","Mouser","442-BLHBXJXGX32L","","DEL multicolores 5050 PLCC6 RGB"
"J1","1","~","","~","","","","","","Right angle 3-pin 5mm-pitch header"
"J2","1","Conn_01x04","","~","","","","","","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"L1","1","1uH","","https://www.coilcraft.com/getmedia/38f73356-5dfa-4ba3-b406-5d8b038c37d2/xel5030.pdf","Coilcraft","XEL5030-102MEC","","","","Inductor with iron core, small symbol"
"Q1","1","MMBT2907ALT1G","","https://www.mouser.fr/datasheet/3/101/1/MMBT2907ALT1-D.PDF","ON Semiconductor","MMBT2907ALT1G","Mouser","863-MMBT2907ALT1G","60V","Transistor, PNP, 60 V, 0.6 A, SOT-23"
"Q2","1","CSD25402Q3A","","https://www.ti.com/lit/ds/symlink/csd25402q3a.pdf","Texas Instrument","CSD25402Q3A","Mouser","595-CSD25402Q3A","20V","-76A Id, -20V Vds, NexFET P-Channel Power MOSFET, 7.7mOhm Ron, Qg (typ) 7.5 nC, VSON-8 3.3x3.3mm"
"R4","1","470r","","~","Vishay","CRCW0603470RFKEBC","Mouser","71-CRCW0603470RFKEBC","75V","Thick Film Resistors - SMD 1/10Watt 470ohms 1% Commercial Use"
"R5,R7,R13,R16","4","10k","","~","Vishay","CRCW060310K0FKECC ","Mouser","71-CRCW060310K0FKECC ","75V","Thick Film Resistors - SMD 1/10Watt 10Kohms 1% Commercial Use"
"R6,R9,R12","3","120r","","~","Vishay","CRCW0603120RFKEAC ","Mouser","71-CRCW0603120RFKEAC ","75V","Thick Film Resistors - SMD 1/10Watt 120ohms 1% Commercial Use"
"R8","1","330r","","~","Vishay","CRCW0603330RFKEAC ","Mouser","71-CRCW0603330RFKEAC ","75V","Thick Film Resistors - SMD 1/10Watt 330ohms 1% Commercial Use"
"R10","1","18r","","~","Vishay","CRCW080518R0FKEA","Mouser","71-CRCW080518R0FKEA","75V","Thick Film Resistors - SMD 1/4W 18ohms 1%"
"R11,R15","2","1k","","~","Vishay","CRCW06031K00FKEAC ","Mouser","71-CRCW06031K00FKEAC ","75V","Thick Film Resistors - SMD 1/10Watt 1Kohms 1% Commercial Use"
"R14","1","2k","","~","Vishay","CRCW06032K00FKEAC ","Mouser","71-CRCW06032K00FKEAC ","75V","Thick Film Resistors - SMD 1/10Watt 2Kohms 1% Commercial Use"
"R17","1","453k","","~","Vishay","CRCW0603453KFKEAC","Mouser","71-CRCW0603453KFKEAC","","Thick Film Resistors - SMD 1/10Watt 453Kohms 1% Commercial Use"
"R18","1","100k","","~","Vishay","CRCW0603100KFKEAC  ","Mouser","71-CRCW0603100KFKEAC ","75V","Thick Film Resistors - SMD 1/10Watt 100Kohms 1% Commercial Use"
"SW2","1","~","","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf","Omron Electronics","B3U-1000P ","Mouser","653-B3U-1000P","","Tactile Switches Top Actuated w/o boss w/o ground"
"U1","1","ACPL-214-500E","","https://docs.broadcom.com/doc/AV02-0469EN","Broadcom / Avago","ACPL-214-500E ","Mouser","630-ACPL-214-500E ","","AC/DC Phototransistor Optocoupler, Vce 80V, CTR 20-400%, SOP-4"
"U2","1","ESP32-WROOM-32E","","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf","Espressif Systems","ESP32-WROOM-32E-N8","Mouser","356-ESP32WRM32E164PH","","Modules multiprotocoles SMD Module ESP32-WROOM-32E, ESP32-D0WD-V3, 8 MB SPI flash, PCB antenna"
"U4","1","TL431DBZ","","http://www.ti.com/lit/ds/symlink/tl431.pdf","Texas Instruments","TL431AIDBZR ","Mouser","595-TL431AIDBZR ","","Références de tension Adjustable Precision Shunt Regulator A 5 A 595-TL431AIDBZT"
"U5","1","TPS61022","","https://www.ti.com/lit/ds/symlink/tps61022.pdf","Texas Instruments","TPS61022RWUT ","Mouser","595-TPS61022RWUT ","","Switching Voltage Regulators 8-A boost converter with 0.5-V ultra-low A 595-TPS61022RWUR"
